name,description
Niyaz,"نیاز (Niyaz) is a musical trio based in Los Angeles, CA, USA. The group was created in 2005 by DJ, programmer/producer and remixer Carmen Rizzo, Iranian vocalist and hammered dulcimer player Azam Ali, formerly of the group Vas, and Loga Ramin Torkian of the Iranian crossover group Axiom of Choice. 

Niyaz is a Persian and Urdu word meaning ""yearning"". Niyaz's music, described as ""mystical music with a modern edge"", is primarily a blend of Sufi mysticism and electronica. Niyaz adapts Persian, Turkish, and Indian folk songs and poetry, including the poetry of Sufi mystic Rumi, with electronic instrumentation and programming."
Mohsen Namjoo,"Mohsen Namjoo (Persian: محسن نامجو) was born in 1976 in Torbat-e Jam, Iran. When he was one year old, his family moved to Mashhad where he spent the next seventeen years of his life. When he was 12 his father, Mohammad Hossein Namjoo, died. A few months later, his family encouraged him to start attending music classes. He started classical Persian vocal music with Ali Shakeri and solfège with Kaivan Alaee. Soon after, he got to know Ali Shakeri through Nasrollah Nasehpoor on a trip to Tehran. At that time, Ali Shakeri was a student of Nasrollah Nasehpoor. After almost a year of sessions with Ali Shakeri, Nasrollah Nasehpoor started to have weekly music sessions in Mashhad. This was a great opportunity for the young Namjoo to learn classical Persian vocal music from one of the most highly regarded masters of traditional Iranian singing. He attended these classes until the age of 18.

In 1994 he was offered admission to study Music at University of Tehran. Since the music program at the university would not start for another year, he took two theater classes at the University of The Arts. Namjoo always recalls the two theater classes and that one year period of time to be the time which shaped many parts of his work and his life. At Tehran University he was a student of Alireza Mashayekhi and Azin Movahed and other masters. In 1997, Namjoo quit the music program in University of Tehran, later explaining that he had some conflicts with certain faculty in the music department because they wanted to put him through more years of traditional Iranian music practice which were the repetition of what he had already learned in the earlier years of his life."
Ebi,"There are three artists with the name Ebi.

1. Ebrahim Hamedi (Persian: ابراهیم حامدی) (born June 19, 1949 - Tehran, Iran) better known by his stage name Ebi, is a famous Persian singer. Being one of the most popular and enduring singers of Iran, he's usually noted for his unique voice and is considered by many to be the best Iranian Pop singer. Having started his career over 30 years ago, he is a well established star with fans all over the world. His voice, and his choice of songs has won him awards all around the world, such as ""Master of Voice"" in 1993 with the song ""Persian Gulf"" in Australia. 
Ebi started his career as a young teenager with a band called the ""Sun Boys"" Together they made many public appearances with relative success. After a few years he started his solo career with a song called ""Attash"" for a movie with the same title. He started his own style and from the beginning he showed that he is a talented singer and a star the newly developed Iranian Pop music can depend on. His third song, ""Shab"" (Night) is the song Ebi himself agrees made him a star. The song's lyrics were written by Ardalan Sarfaraz. The song was first heard by people on Fereydoon Farrokhzad's show, ""Mikhake Noghreyi"". The popularity of Fereydoon Farrokhzad's show immediately made Ebi very popular for the Iranian people. Ebi has said that he owes his success to Fereydoon Farrokhzad.
Ebi left Iran in 1977 (two years before the Iranian Islamic Revolution which took place in 1979), for a series of concerts in USA. He released more than 20 albums in more than 30 years.
He has worked with well-known poets like Ardalan Sarfaraz, Iraj Janatie Ataie, Shahyar Ghanbari, Masoud Hooshmand, Amir Farrokh Tajalli, Masoud Amini, Leila Kasraa, Bijan Samandar, Masoud Fardmanesh and Paksima Zakipour. He has also worked with great composers like: Varouj Hakhbandian (Varoujan), Babak Bayat, Touraj Shabankhani, Farid Zoland, Esfandiar Monfaredzadeh, Siavash Ghomayshi, Andranik, and Abdi Yamini. 
His Album Setarehaye Sorbi was one of the top albums ever released in persian music indusutry. The Triangle of Siavash Ghomayshi, Ebi & Iraj Janatie Ataie. He had also lyrics from Paksima (Adat) and Amir Farrokh Tajalli (Ki Ashkato Pak Mikoneh).
After the album Tolou Kon he stopped working with Ardalan Sarfaraz, Farid Zoland and Shahyar Ghanbari.
He Released The album Shab-e Niloufari. He worked again with Siavash Ghomayshi and Iraj Janatie Ataie. The arrangments were done by Shoubert Avakian. 
His new album is Hasrate Parvaz with the songs from Shoubert Avakian. and the Lyrics of Zoya Zakarian and Iraj Janatie Ataie. Ebi is working on his Last Album. and he will stop releasing albums. He is now living in Spain with his wife Mahshid.

2. Ebi is one of several pseudonyms of Japanese composer Susumu Yokota. Yokota was well known in the English-speaking independent music scene for his albums of experimental ambient music, including albums like Acid Mt. Fuji and Sakura. He also had a long career as a house music DJ and released several highly regarded albums of house music. Susumu Yokota died on March 27, 2015, aged 54, after a long period of illness.

3. EBI is the pseudo of 堀内 一史, the bassist of the japanese band : ユニコーン"
Siavash Ghomayshi,"Siavash Ghomayshi (Persian: سیاوش قمیشی), born 1945 in Ahwaz, Iran, is an Iranian song writer, singer and music producer. He began his work in 1971 in Tehran, Iran


He started his career as a composer when he was just 14. Siavash holds a Master's degree in classical jazz from Royal Society of Arts in London, England, where he majored in pop music. He worked with some popular bands in England such as the Rebels and the Insects as a pianist and singer. When he returned to Iran at the age of 25, he started his career mainly as a composer. Ghomayshi has created numerous melodies and lyrics for famous Persian artists such as Ebi, Dariush, Sattar, Mansour, Leila Forouhar, Aref, Firoozeh and many more. Ghomayshi wrote his first song, called ""Ghayeghran"" (""Boatman"") for Zia when he was 13. Although initially considered a composer, in the latter years of the Pahlavi regime (before the 1979 Islamic Revolution) he released his first album, and has since continued his work as a singer, composer, arranger, and lyricist. In 1972 he released his first album, Farangis, in Iran. He lived in Iran until the age of 25, then, given the uncertain status of those involved in the music business following the Islamic revolution of Iran, decided to leave the country once again to pursue his career, this time his destination was the United States. In recent years Siavash Ghomayshi has explored electronic music as well such experimentation has introduced new elements into his music and the whole Iranian pop music, He is known as the father of trance music in Iran. Among the 18 albums Ghomayshi has recorded to date, Ragbaar, Rooz-haye Bi-Khatereh (Days with No Memories), Bi Sarzamin-tar az Baad (More Homeless Than The Wind), Taak (The Vine), and last but certainly not least Yadegari (""Memento"") (2011) have been among his most successful. Because of the popularity of Siavash's voice among young generation, in recent years many singers inside Iran tried to sing in the same way as he does.

Although his albums may be considered largely non-political, he expresses a longing for his home country. Ghomayshi has also had significant involvement in albums released by various musical compatriots, especially Leila Forouhar's ""The Story of Yours, The Story of Mine"" and Ebi's best albums ""Setarehaye Sorbi (1995) and Shab-e-Niloufari (2003)"", which attracted a lot of attention. His music can be considered as Persian-language pop/rock, in contrast to the vocal stylings most often associated with adult contemporary singers.

In 2011 in an interview with teamghomayshi.com he stated that he does not believe in life after death, also saying that Yadegari (""Memento"") (2011) would most probably be his last album, but to let his fans enjoy his music and his unique styles, he will be releasing singles."
Mohammadreza Shajarian,"Mohammad-Rezā Shajariān(Persian: محمدرضا شجريان) (born September 23, 1940 in Mash'had, Iran; died October 8, 2020 in Tehran) was a legendary and critically acclaimed Persian traditional singer, composer and Ostad (master) of Persian music. During his life he was called ""Iran's greatest living master of Persian Classical music"". In Persian classical Dastgah music, singing is the most difficult art to master and Shajarian is the embodiment of the perfect singer and a major source of inspiration. Shajarian was also known for his skills in Persian calligraphy, and humanitarian activities.

Mohammad Reza Shajarian began singing spiritual songs at the age five under the supervision of his father. Only a few years later his precocious talent was to be renowned throughout the town of Mashhad. In spite of his religious upbringing, at the age of twelve he was familiarizing himself with the traditional song repertoire and the first piece he was to sing was the Gham-Angiz Goosheh of Dashti. He was also interested at the same time in popular music from Khorasan and the other regions of Iran. His focus at first was on the local folk music of his native province, Khorasan, but later at the age of twelve he studied the traditional repertoire, the Radif. After college, he became a schoolteacher and was to find himself at much greater liberty to study all forms of Persian traditional music and gradually relinquish religious singing. What follows is a resume of the major landmarks in Mohammad Reza Shajarian's artistic career. On the arrival in Teheran he met Ahmad Ebadi, the great Setar master who was sole heir to the musical tradition upheld by his family. His meeting of the late Esmail Mehrtash was to initiate him in the fine nuances of traditional singing, in popular melodies and in artistic technique.

Right from the earliest age he learned how to sing the different versions of the Radif from the most highly reputed singers such as Reza Gholi Mirza Zelli, Ghamar Molook Vaziri, Eghbal Azar, Taj Esfahani, Noor Ali Boroomand and Taher Zadeh Esfahani. Shajarian started playing the Santour under the instructions of Jalal Akhbari to better understand and perform the traditional repertoire, and in 1960, To improve his technique, became the pupil of the Santour Maestro Faramarz Payvar which lead to his acquiring perfect interpretative and executant mastery on instrument phrases transposed for the voice.

Shajarian was deeply inspired by the late master vocalist Gholam Hossein Banan and adopted his style of singing for several years. An important event in his life was his productive encounter with the great master Abdollah Davami, who was to impart to him the most ancient Tasnifs (songs) and the authentic version of the Radif which had been passed onto him by the greatest masters of the previous century.

Shajarian started his singing career in 1959 at Radio Khorasan. He rose to prominence in the 1960s with his distinct style of singing. Since then, he has led an illustrious career that includes teaching at Tehran University's department of Fine Arts (among other places), researching the musical arts of Iran, and working at the National Radio and Television. He performed regularly in Iran and throughout the world. His performances brought him universal acclaim and an eminent position among his compatriots.
Shajarian collaborated with Parviz Meshkatian, Mohammad Reza Lotfi, Hossein Alizadeh, and Faramarz Payvar. He was recognised as skilled singer in the challenging traditional Dastgah style. In 1999 UNESCO in France presented him with the Picasso Award and in 2006 with the UNESCO Mozart Medal.

Besides his tremendous musical talent, Shajarian had a life-long passion for Persian Calligraphy. Since 1967 he practiced this art under the instructions of two Iranian master calligraphers, Ebrahim Buzari, and Hossein Mirkhani. He was considered an accomplished calligrapher with his own distinct style."
Dariush,"Dariush Eghballi (born February 4, 1951) is a Persian (Iranian) pop singer (see also داریوش). Dariush Eghbali was born in Miyaneh and spent his early years in Karaj and Kurdistan. His talent was first recognized at an early age of nine, when he appeared on stage at his school. Hassan Khayatbashi introduced him to the public at the age of twenty through Iranian television. He immediately became popular with his legendary song ""Do not tell me you love me"" his contemporary and unique style opened a new era in the Iranian music.

Dariush has never compromised his deeply held beliefs, for which he was even imprisoned and persecuted before the revolution in Iran. Whether he sings poems of Shamlou, Rumi, Hafez,shirazi and Naderpour, or lyrics of Iraj Jannati Attaie, Shahyar Ghanbari, Mina Assadi and Ardalan Sarfaraz, the one theme that runs through all his music is that of love, peace, freedom and justice. He has collaborated with such renowned artists as Babak Bayat, Farid Zoland, Ahmad Pejman, Mohammad Shams, Varoujan and many other innovative and avant guarde lyricists, musicians, and composers.

His body of work consists of over 200 songs in 25 albums. With remarkable sensitivity and undeniable logic, he has created an astonishing repertoire and a glorious body of work. He has the ability to interpret all forms of music with consummate ease. He has dazzled audiences with great virtuosity with his bright and effervescent performances. He has had sold out performances in concert hall around the world notably: Wembley, Carnegie Hall, Kennedy Center, Koncertoes, Greek Theatre, Universal Amphitheatre, and Palais de Congres.

Dariush has earned the respect and love of his admirers not only because of his talent in the world of music as a performer, but also as an accomplished composer. Furthermore, his performances in the Iranian Cinema, more specifically in two films: ""Yaran"" and ""Faryad zir-e- ab"" have earned great reviews[citation needed]. Recently, his incredible amount of sheer hard work in bringing awareness and support to the world of addiction has insured his place among the mere handful of humanitarian Iranian artists who have made an impact in the lives of people with compassion and passion. Through the establishment of the Iran Recovery Center, and Ayeneh Foundation, by creating such websites as [Behboudi.com], the first Persian website addressing substance abuse, [Ayeneh.org], the first and only website addressing all social maladies widespread among our countrymen all around the world, and his own weblog, [dariusheghbali.com]; through educational seminars and conferences around the world, and as a member of Amnesty International[citation needed], Dariush has raised his voice to make a difference. His goal is to create a nurturing environment conducive to allowing people to develop healthy, drug free lives, encouraging them and their family and loved ones to acquire and seek the skills to achieve sobriety and successfully maintain it, to bring social awareness regarding the plight of our countrymen and to create a bridge between those in need and those who can lend a helping hand. As such, his contributions have been recognized by the Self-Help And Recovery Exchange, which selected him to receive the Ron Simmons & Rev, Ronald L. Wright Award, for his outstanding contribution to support group participation by minority communities.

Dariush and his music have swept the worldwide musical scene with such haunting and powerful voice that could break a heart. His inherent musicality and intelligence and the astonishing beauty of his timbre, coupled with a passionate belief in the importance of civil liberties and political and human rights has made him an international symbol of a free Iran. He has been a messenger of love and compassion to the refugees all around the world struggling to find a tiny nest away from the tyranny and suppression. As such, he has been embraced by the Arab world, with its rich musical culture, with great enthusiasm. In a recent international festival of music video and tele-media held in Bahrain, Dariush was recognized as the sole representative of contemporary Iranian music. He was awarded the highest peace trophy[citation needed]. In the closing ceremonies of the festival, Dariush sang of freedom, particularly in his homeland, Iran, and passionately expressed his firm commitment towards being the voice of awareness, bringing attention to the plight of his countrymen struggling for freedom.

His flawless taste in music, poetry and lyrics, and his magnificent ability to touch the souls of his countrymen have been the main source of his enduring style. His engaging personality and his fierce loyalty to the need of the society has undoubtedly proven to be inspiring to the younger generation. This ever-growing impact on the younger generation, who were not even born when he began his career, as well as those who are avidly following his every move is generating over 200,000 hits a day on his website Dariush2000.com. Dariush transcends the world of popular and traditional Iranian music that he has commanded for over three decades, and has awarded the most glorious spot in the heart and soul of his countrymen all over the world."
Googoosh,"Googoosh (Persian : ﮔﻮﮔﻮش , born on 5th May 1950 (15th Ordibehesht 1329)) is an Iranian pop singer and former actress. Her career in the performing arts has spanned 5 decades.

Following a 21-year performing ban imposed by the conservative government of Iran (where she continued to live following the 1979 Islamic revolution), Googoosh finally left the country in 2000 to undertake a world tour, re-establishing her status as the most successful Iranian artist of all time.

The phenomenal success of these concerts was testament not only to her lasting quality as an artist, but a tribute to generations of Iranians who, despite over two decades of silence, demonstrated their continuing love and loyalty to an enduring star of a bygone era. In turn she rewarded their devotion with proof that she continues to remain relevant to today's audiences, showing that she is a star not only of the past, but of the present and the future."
Hossein Alizadeh,"Hossein Alizâdeh (Persian: حسین علی‌زاده) (b. 1950, Tehran, Iran) is an Iranian musician and composer. He comes from a traditional training. He learned the Radif of Persian classical music with various masters of the tradition including Houshang Zarif, Ali Akbar Shahnazi, Noor Ali Boroomand, Mahmood Karimi, Abdollah Davami, Yusef Forutan, and Saeed Hormozi, and later recorded the entire body of the Radif based on the interpretation of Mirza Abdullah for Tar and Setar. He also received a B.A. in Music Composition and Performance from the University of Tehran, and later studied Composition and Musicology at the University of Berlin. He has taught at the University of Tehran and the Tehran Music Conservatory.
Alizadeh has led a solo career, performing both in Iran and throughout North America, Europe and Asia. He was the conductor and soloist in the Iranian National Orchestra of Radio and Television, established the acclaimed Aref Ensemble and worked with the Shayda Ensemble. His first professional experience in Europe was playing in the orchestra of the famous Bejart Ballet Company in Maurice Bejart's ballet, Gulistan.

Some of Alizadeh's most noted compositions are The Nava Improvisations (1976), Riders of the Plains of Hope (1977), Hesar (1977), Revolt (1983), Ney Nava (1983), Dream (1986), Torkaman (1986), Raz-O-Niaz (1986), Delshodegan (1987), Song of Compassion (1991), New Secret (1996), A Time for Drunken Horses (2000), Turtles Can Fly (OST) (2004), Endless Vision (2004), Half Moon (Nive Mang) (2006), Under The Cutting Blade (2007) and Ode to Flowers (2007). The album, Endless Vision has been nominated for the Best World Music Album of the Year 2006 in the 49th Edition of the Grammy Awards.

Alizadeh established the Hamavayan Ensemble in 1989 with a new approach to the traditional Iranian choral singing. Accompanied with traditional instruments, this ensemble has appeared in many of Alizadeh's compositions including New Secret, Gabbeh, Songs of Compassion and Endless Vision. 
Official Website:"
Shadmehr Aghili,"Shadmehr Aghili ( born 1973) is an Iranian musician, singer and songwriter born in Tehran, Iran.

Shadmehr's father, a veteran of the Iran-Iraq war, died when Shadmehr was only a young student. Young Shadmehr began studying music with the encouragement of his brother and mother. He learned to play the piano and the violin just before he was 12 years old. The guitar is also an instrument which Shadmehr learned to play in a dexterous manner. After the Iranian Revolution of 1979, he entered a school of arts in Tehran and in a short time showed great intelligence in composing and playing music. As a child Shadmehr was influenced by Persian pop star Siavash Shams and other singers like Andy.

After receiving a music diploma, when pop music was forbidden in Iran, Aghili entered the ""music school of television"". Around 1995 the first pop music permitted after the revolution was played on official Iranian television. This was dramatic music with Ahmad Shamlou's poetry read by Khashayar Etemadi.

Aghili composed a great deal of music for other singers. Finally, in 1997, his first album was presented, Bahareman (""My spring""), which was a collection of classic and folkloric music played and arranged by Aghili (violin, guitar, piano, keyboard). In the same year his voice was heard in Mabood, his first vocal music, and afterward he continued work that resulted in Mosafer (""The traveler""), his first complete vocal album. In 1999 he created a revolutionary album, Dehati (""The villager""), with rock and roll, 6'n'8 and popular rhythms. However, none of his songs were permitted to be played on public media (i.e. TV). Shadmehr worked hard to get a permission for his Adam o Hava (Adam & Eve), an album that was supposed to be released in 2001. However, not only he did not, but also, he was banned to work as a singer, musician, or to appear on TV shows.

Having left with no better choice, he decided to leave Iran in 2002, in order to continue his music in Canada, away from any restrictions. Khiali Nist (""No Worries""), Adamforoush (""Traitor"", 2004) and ""Popcorn"" are his most recent albums released in Canada and the United States. In addition, Shadmehr acted in two movies, namely, Pare Parvaz (2000) and Shabe Berahneh(2001).

In October 2006, Shadmehr entered the United States to perform a U.S. tour with his first concert date scheduled for November 17, 2006 at the Warner Theatre in Washington, D.C. Shadmehr Aghili is now living with his wife, Mia Mesa, in Los Angeles California.

شادمهر عقيلي متولد هفتم بهمن ماه 1351 خیابان جیهون است شماره شناسنامه اش 8601 صادره از تهران است.او در یک خانواده ی شش نفره بدنیا آمده و فرزند آخر خانواده است.دو برادرش در جنگ به شهادت رسیدند و پدرش که اهل طالقان بود در دوران نوجوانی شادمهر به دلیل بیماری سرطان درگذشت.


از کودکی با دیدن سازهای موسی ی به این رشته ی هنری علاقه مند شد شادمهر از همان دوران به کارهای سخت و مشکل علاقه ي زيادي داشت .از 10 سالگی ویلن را به عنوان ساز اصلی انتخاب کرد و از همان آغاز فعالیت موسیقی عشق و علاقه خاصی به نوازندگی و ساخت آهنگ داشت.و زیاد به سمت و سوی خوانندگی نمی رفت.

مدتها در ستارخان منطقه شهرآرا ساکن بودند و بعد به جردن نقل مکان کردند بعد از اتمام مقطع راهنمایی به هنرستان موسیقی رفت و در سال 67 از هنرستان موسیقی به اتفاق یک گروه به واحد موسیقی صدا و سیما رفت.فواد حجازی هم جزء آن گروه بود.در همانجا بود که با خشایار اعتمادی و علیرضا عصار آشنا شد.

اولین ترانه ای که خواند((معبود))بود و ((بهار من))اولین کاست مستقل او.هیچ گاه نتوانست در ایران مجوز کنسرت بگیرد اما فروش کاست ((دهاتی))او بسیار بالا بود.خودش تا زمانی که از ایران برود از میان ترانه هایی که خوانده بود((هزار و یکشب)) ((یاس))و((دلخوشی)) را بیشتر دوست داشت و ترانه((آدم فروش))او را نیلوفر لاری پور و فرزاد حسنی سروده اند.هم اکنون او يكي از محبوب ترین خواننده هاي موسیقی پاپ به شمار ميرود

شادمهر به شمال کشور علاقه خاصی دارد. او بسیار محتاط و محافظه کار است وی بعد از انقلاب اولین خواننده ای بود که در سینما هم به عنوان بازیگر حضور پیدا کرد.تا قبل از اینکه بازیگر شود شاید ماهی یکبار به سینما می رفت و معتقد بود بازیگری کار دشواری نیست. می گویند برای بازی در فیلم ((شب برهنه)) سعید سهیلی حدود 20 میلیون تومان دستمزد گرفت

هرگز در زمینه موسیقی از استادی بهره نگرفت بیش از اندازه به مادرش علاقه دارد و خیلی اصرار داشت که مادر با او به آن سوی مرزها برود اما مادرش نپذیرفت.شادمهر ورزش را دوست دارد و در عرصه ورزشهای اسکی روی آب و شمشیربازی مدتها فعالیت می کرد.جودو و تکواندو هم مدتی ورزش حرفه ای او به شمار میرفتند.در دوران مدرسه هم مرتب فوتبال بازی می کرد و تا قبل از رفتن عضو ثابت تیم فوتبال هنرمندان بود.


برادرزاده اش هومن هم خواننده است چندي پيش با عرشیا خواننده موسیقی پاپ رابطه اش شكر آب شد و می گویند آدم فروش را برای او خوانده. اردیبهشت سال 80 شادمهر تصمیم گرفت از ایران به کانادا برودو به دلیل اینکه نواختن اکثر سازها رااز سنتور و گیتار گرفته تا پیانو و ویلن و ...را بلد است توانست جایگاه ویژه ای در موسیقی ایران چه در اینجا و چه در خارج بدست آورد ولی همیشه میگوید که روزی برمیگردد و دلش برای ایران خیلی تنگ شده است.

بعد از رفتنش شایعات زیادی درباره او گفته شد.از جمله اینکه زندانی شده-به بیماری روانی دچارگشته و...ولی همه اینها شایعه ای بیش او بعد از مدتی اقامت در کانادا کلاسهای آموزش گیتار و ویلن راه انداخت و اواسط سال 82 توانست یک آپارتمان در کانادا بخرد و با اجاره نشینی خداحافظی کندو آخرین جمله ای که در این زندگی نامه میتوان از شادمهر گفت این است که در سال 80 ((جان واردادرسن))خبرنگار بخش خارجی واشنگتن پست پس از دیدار از ایران مطلبی نوشت که با این جمله آغاز می شد:ایران اسلحه جدیدی در مقابل غرب به کار گرفته است ""شادمهر عقیلی"".البته این حرف خبرنگار خارجی بیش از حد اغراق آمیز است ولی نمیتوان گفت که خیلی هم از حقیقت به دور است"
Kourosh Yaghmaei,"Kourosh Yaghmaei (Persian: کورش يغمائي) is one of the first Iranian rock musicians.
Kourosh was 10 when his father gave him a gift that revealed his talent for music. It was a Santour (the Persian traditional string-percussive dulcimer). According to his mother, when he opened his present, after a few tries, he started to play a tune. Not to mention that he had never touched a Santour before. After 5 years of practice he gained precious knowledge of Iranian traditional music along with excellent skills in playing Santour.

At the age of 15 he chose to play the guitar, which he has always loved. He gathered his own Pop/Rock bands which he both composed for and played in. He mostly played the lead guitar. In fact Kourosh introduced Rock music to Iran with a Pop formation of songs. At that time he received several tempting offers from western musicians and bands' managers to join them.

In his senior year as a Social Science student at the Iran National University (DANESHGHAH-e MELLI-e IRAN), Kourosh released his first single hit GOL-e YAKH. The poem was written by his classmate, now-famous poet Mahdi Akhavan Langeroudi. This memorable love song led him to worldwide fame. He orchestrated, composed, played and sang the song. The song received international attention. It was re-played and sang in several other languages by their local musicians. His voice was banned for 17 years after The islamic revolution in 1979. In these years he published children stories on books and cassettes. He released an instrumental album called DIYAAR (Homeland). It was an orchestration of endemic songs for Grand National Orchestra. He also took some guitar students. His first album SIB-e NOGHRE'EE (Silver Apple) was released after the ban was lifted. His picture was only allowed to be published in his albums after 24 years. It has to be noted that Kourosh has learnt all different aspects of music without having any music teacher or instructor."
