genres,id_spotify,artist,name,cover_art,isrc,preview_url,download_url
pop,0bBHSmbSJX2aFIHjUanbPN,L'Arc~en~Ciel,Floods of tears,https://i.scdn.co/image/ab67616d0000b273c8247a0b6ea43b048ce6914f,JPF309300050,https://cdns-preview-3.dzcdn.net/stream/c-34e320eedb7ae0b313c9a90a1f260c96-6.mp3,
"pop,rock",0x7qAtKBfsMrtpohpw8wB0,James Morrison,If the Rain Must Fall,https://i.scdn.co/image/ab67616d0000b2739e097bfba6d7b9aa7e15ed0e,GBUM70600713,https://p.scdn.co/mp3-preview/5e33a9f1c0f89b1409b3fee82dd47a64a6daddd8?cid=0f3710c5e6654c7983ad32e438f68f9d,
pop,1nYeVF5vIBxMxfPoL0SIWg,Dua Lipa,Hallucinate,https://i.scdn.co/image/ab67616d0000b273cda2c6ad6272aea9c5811a49,GBAHT1901301,https://p.scdn.co/mp3-preview/df7a46f7a8718bff61d268126c70f358c3fb257d?cid=0f3710c5e6654c7983ad32e438f68f9d,
"rock,pop",0lSnw8FBIE5KOPoMPWVepZ,Snow Patrol,It's Beginning to Get to Me,https://i.scdn.co/image/ab67616d0000b273a644d5b1cdf42ae9dd6170d3,GBUM70600347,https://cdns-preview-9.dzcdn.net/stream/c-90c83ce2f473213988f628a9a355e369-3.mp3,
"rock,pop",0wYFVwyWIvwxxsjPRjT2yv,Yellowcard,Drifting,https://i.scdn.co/image/ab67616d0000b2735155253246c68fa3d453324f,US2V60431502,https://cdns-preview-f.dzcdn.net/stream/c-f3cafda774874bd1fce71cd039f11603-2.mp3,
"pop,rnb",0TSENkgeEfXka5ngJN1pNM,Alicia Keys,Empire State of Mind (Part II) Broken Down,https://i.scdn.co/image/ab67616d0000b273b102ec9fab56eee925888d30,USJAY0900291,https://cdns-preview-9.dzcdn.net/stream/c-915cab471c0edf568401fd8b875d2f3a-6.mp3,
"rock,pop",0XR6KQsjSFzZ2hlzKuaaqO,Legião Urbana,Giz,https://i.scdn.co/image/ab67616d0000b2736d9764e83e9657c35012e80d,BREMI9300150,https://cdns-preview-3.dzcdn.net/stream/c-3e0e5d156df63b445509ce420f5db591-8.mp3,
pop,2WyWCddeMUCRAUnT6e2fWv,浜崎あゆみ,Depend On You,https://i.scdn.co/image/ab67616d0000b2734d1d3c4d20c221a42daa65ef,,https://p.scdn.co/mp3-preview/1fb31c5a29b52794ae5889e3d497e3ba9508c697?cid=0f3710c5e6654c7983ad32e438f68f9d,
pop,28MKy2umF5roXSqmUQ9eB7,ASIAN KUNG-FU GENERATION,Re:Re:,https://i.scdn.co/image/ab67616d0000b2731ad7b6eb6b0410e10402edeb,JPKS00401165,https://p.scdn.co/mp3-preview/0f70070ec9934a529cdb9a4dd8ad3a6e300da8b2?cid=0f3710c5e6654c7983ad32e438f68f9d,
pop,0jDkHiybpBtIOXZClSsOEy,Jonathan Boulet,You're A Animal,https://i.scdn.co/image/ab67616d0000b27381a43bbcc61ee40633b2c320,AUUM71002629,https://p.scdn.co/mp3-preview/2408dd334ebcd7543ab753b04753dd3e72399917?cid=0f3710c5e6654c7983ad32e438f68f9d,
