name,artist,genres,id_spotify,cover_art,isrc,preview_url,download_url
Querer,Idin,"pop,persian",3K075oMfofNOKHwwbI0WOJ,https://assets.rjassets.com/static/mp3/idin-querer/273b24d4976e961.jpg,TCABG1292635,https://p.scdn.co/mp3-preview/3f64620baa6ca67f7982da53ba6eee857c777ba9?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/63026-d9af132c3f3e480.mp3
Delam Khosh Ast,Naser Abdollahi,"pop,persian",,https://assets.rjassets.com/static/mp3/naser-abdollahi-delam-khosh-ast/eb4361da47efe3f.jpg,,,https://host1.media-rj.com/media/mp3/naser-abdollahi-delam-khosh-ast/Naser+Abdollahi+-+Delam+Khosh+Ast.mp3
Neshooni,Amin Rostami,"pop,persian",3ObImy8WJcl95xEO2nVrrJ,https://assets.rjassets.com/static/mp3/amin-rostami-neshooni/524474f1.jpg,FR10S1926661,https://p.scdn.co/mp3-preview/cde2793b08e5a45a02b45700da7c944042f80dd6?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/6828-9d8f6885af3157a.mp3
Be Cheshmat Qhasam,Hamed Homayoun,"pop,persian",,,,,
My Sleepy Fal,Take It Easy Hospital,"pop,rock,persian",,,,,
Majnoon,Bijan Mortazavi,"pop,persian",70mGUJQhnhjbabGkIzEi7u,,USBMF9020248,https://p.scdn.co/mp3-preview/f76275eb7c2efe4451a190cc8c204e79286aab36?cid=0f3710c5e6654c7983ad32e438f68f9d,
Boye Baron,Mohsen EbrahimZadeh,"pop,persian",148OrBa58heeuWK7c5ICTw,https://apin1mservice.com/image-application/mohsenebrahimzadeh-boye-baron-mp3.jpg,FR10S1758671,https://p.scdn.co/mp3-preview/1bc83ee7f20c05208f09ae58e5a00b1e4ed58c98?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/1396/08/11/Mohsen Ebrahimzadeh - Boye Baron [128].mp3
Man Divoonatam (Ft Sepehr Khalse),Eddie Attar,"pop,persian",,,,,
Nobahari,محسن نامجو,"rock,persian",,,,,
Dooset Daram,Sirvan Khosravi,"pop,persian",,https://assets.rjassets.com/static/mp3/sirvan-khosravi-dooset-daram/ca1fdd54.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/6413-4b22fa94d816915.mp3
Kiye Kiye Dar Mizaneh,Pouran,"pop,persian",5u3fFXCkIteggl7hf4UXPv,,USBMF7650027,https://p.scdn.co/mp3-preview/8ee85af09af733db31d167db222fea150c8c667b?cid=0f3710c5e6654c7983ad32e438f68f9d,
Khoshbakhti,Barad,"rock,traditional,persian",1xds5eo5RAO0Y0NZE2f3QZ,https://apin1mservice.com/image-application/barad-khoshbakhti-mp3.jpg,AUCOY1900727,https://p.scdn.co/mp3-preview/675eb62b7bab582b264ffc7c737dcf7f59873fc5?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/1396/05/17/Barad - Khoshbakhti [128].mp3
Akharin Tabib,Mahasti,"persian,pop",3FLyGrYDcDYZGCjHTJEGiT,https://assets.rjassets.com/static/mp3/mahasti-akharin-tabib/53d5965f.jpg,USPUP0813514,https://p.scdn.co/mp3-preview/f3ceea4e4557bc370c7c0ee4a6e44882441b937b?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/10243-ff5030416a0f680.mp3
Sooski (feat. Sepehr Khalse),CatchyBeatz,"rap,persian",,,,,
Showgh,Kayhan Kalhor,"classical,instrumental,traditional,persian",,,,,
Destiny's Door,Raffi Shahbazian,"rock,instrumental,persian",,,,,
Dast Too Jib,Tanbe10,"rap,persian",,,,,
Zann,Vigen,"pop,persian",,,,,
Aabere Shab,Kourosh Yaghmaei,"rock,persian",6J1X6ymCjKXaiE9CHv1Q3f,,US2S71166028,https://p.scdn.co/mp3-preview/bb416ef47cffa5ce6a56d8085aa3ea53798f1aa7?cid=0f3710c5e6654c7983ad32e438f68f9d,
Asir,Mahasti,"pop,persian",1Gziif1CL3kul9bvWtOMCQ,https://assets.rjassets.com/static/mp3/mahasti-asir/0bb5730f.jpg,USPUP0810888,https://p.scdn.co/mp3-preview/2069a0312d03b048026af38fa8f904125cc1ee42?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/10246-fe4558f6d842351.mp3
Kheili Bad Shod (It was really Bad),Mehdi Moghaddam,"pop,persian",,,,,
Yaram Bash,Mohammad Alizadeh,"pop,persian",,https://apin1mservice.com/image-application/mohammad-alizadeh-yaram-bash-mp3.jpg,,,http://music.n1mstaticfile.com/1397/12/14/Mohammad Alizadeh - Yaram Bash [128].mp3
Dvoone,Poobon,"rap,persian",5J3Ko0Rp0aWtH5xBdOa8so,,,https://p.scdn.co/mp3-preview/f9f62f151a9639d8e2be87ba214aa88ee6d7c88c?cid=0f3710c5e6654c7983ad32e438f68f9d,
Yeki az Hamin Rooza,Naser Abdollahi,"pop,persian",5VA4bibbTvB2MMZtdn5CWr,https://assets.rjassets.com/static/mp3/naser-abdollahi-yeki-az-hamin-rooza/1b28ae14c08884d.jpg,IRIRA1300286,https://p.scdn.co/mp3-preview/2d7d788b11aba33b5a9b1cd6abc331ce60e38f66?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/naser-abdollahi-yeki-az-hamin-rooza/Naser+Abdollahi+-+Yeki+Az+Hamin+Rooza.mp3
Sahme Man,Mahan Bahram Khan,"pop,persian",,https://assets.rjassets.com/static/mp3/mahan-bahramkhan-sahme-man/163ef0ca.jpg,,,https://host1.media-rj.com/media/mp3/mahan-bahramkhan-sahme-man/Mahan+Bahramkhan+-+Sahme+Man.mp3
Parvaz,Mehdi Ahmadvand,"pop,persian",,https://assets.rjassets.com/static/mp3/mehdi-ahmadvand-parvaz/651ccd09886d929.jpg,,,https://host1.media-rj.com/media/mp3/mp3-256/31255-7d1e5ece3c9ec63.mp3
"Moquame Mavaraonahr, Foroude Nava - Hamavayi",Hamavayan Ensemble,"classical,traditional,persian",,,,,
"Come Back, Little Sheba",Persian Rugs,"rock,persian",,,,,
The Cloud,Makan Ashgvari,"rock,persian",,,,,
Inja Jaye Moondan Nist,Sirvan Khosravi,"pop,persian",2AmLBFxVbDWz7N8jpwAkWn,https://assets.rjassets.com/static/mp3/sirvan-khosravi-inja-jaye-moondan-nist/41c19fd367118c0.jpg,AUCOY1900109,https://p.scdn.co/mp3-preview/68dea20eade029053d46ddfc2ab3f151cffe18db?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host2.media-rj.com/media/mp3/mp3-256/77752-e3992eaca09101e.mp3
Gardas,Forabandit,"traditional,persian",7pN0kL4MoT5Q4jVMouttFK,,FRY391414405,https://p.scdn.co/mp3-preview/7ae6c596f960cc081223bbd1dde828fae933456b?cid=0f3710c5e6654c7983ad32e438f68f9d,
Akse Yadegari(عکس یادگاری),Mazyar Fallahi,"pop,persian",,https://navaimg.b-cdn.net/2013/08/mazyar-fallahi-lanat-be-man-f.jpg,,,https://cdn2.navahang.net/media/artists/albums/Mazyar-Fallahi/Lanat-Be-Man/Mazyar%20Fallahi%20-%20Akse%20Yadegari.mp3
Gole Sanobar,Haj Ghorban Soleimani,"classical,instrumental,traditional,persian",,,,,
Ye Divare,GDaal,"rap,persian",2cUZXwjafv9CBGMZnugaLO,https://assets.rjassets.com/static/mp3/gdaal-ye-divare-(ft-mahta)/cf9c60ba92f4e9c.jpg,uscgj1826908,https://p.scdn.co/mp3-preview/8389531ee1978871dadbf6b5e98b4e0e823d05bb?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host2.media-rj.com/media/mp3/mp3-256/77390-9a14dc09ec651b1.mp3
Afshari,Jalil Shahnaz,"instrumental,traditional,persian",,,,,
Aroosak,Black Cats,"pop,persian",4bBezDITSyGbFiHWSIRpM4,,USBMF9621672,https://p.scdn.co/mp3-preview/cb25468fdf5b5f6e35181a7ed28cfa608a9d4150?cid=0f3710c5e6654c7983ad32e438f68f9d,
Existential Giaour,Saber,"pop,persian",,,,,
Modulation To Homayoon(Delzendeha.Blogfa.com),Dastan Trio,"instrumental,persian",,,,,
Adaas,Wantons,"rap,persian",1HCjAm4L2sPr4r7A9y2ztF,https://assets.rjassets.com/static/mp3/wantons-adaas/8a5b022615e8742.jpg,FR10S2051444,https://p.scdn.co/mp3-preview/02561aaaab0918444b996d4dd99865ec7a467471?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/58685-66e3c815a0d1526.mp3
Sooz o saz (Album Rangi),Aref,"pop,persian",,,,,
Tasnif,Mohammad Motamedi,"traditional,persian",0TTs7EdPGQiircZaBGcaT6,,FR6V82545125,https://p.scdn.co/mp3-preview/350234192b674778ab801e4ceadbeed21601ee52?cid=0f3710c5e6654c7983ad32e438f68f9d,
A Local Dish,Ali Samadpour,"instrumental,persian",7pD6lKwc01i6iWI4EhgYqQ,,ES18G1250419,https://p.scdn.co/mp3-preview/d70530f42042482b3d3b799e0786c6155a65bc89?cid=0f3710c5e6654c7983ad32e438f68f9d,
Hamgoriz,Rastin,"pop,classical,persian",084L5aFM06AlHEipgm62xa,https://assets.rjassets.com/static/mp3/rastin-hamgoriz/cbc0269e.jpg,usx9p1088009,https://p.scdn.co/mp3-preview/11616fb2879e506734f2244001aa8c2b136470c4?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/rastin-hamgoriz/Rastin+-+Hamgoriz.mp3
Bi Bi Gol,Shahyad,"pop,persian",1QqDJlVP8JdoVgC8fODjjU,https://assets.rjassets.com/static/mp3/shahyad-bi-bi-gol/60e3ac7beaa844d.jpg,USPUP0810503,https://p.scdn.co/mp3-preview/37f0c9e5900b9d9dadfdf667824441a6b4557603?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/shahyad-bi-bi-gol/Shahyad+-+Bi+Bi+Gol.mp3
The Memory (Khatereh),Hamid Askari,"pop,persian",,,,,
"Az Amoohayat (Na Be Khatere Aftaab, Na Be Katere Hamaseh)",Ahmad Shâmlu,"traditional,persian",,,,,
Madar [Nex1Music.IR],Aron Afshar,"pop,persian",5YuUWVAaLsqu3CoVOslwB0,,,https://p.scdn.co/mp3-preview/64749fe8da3fd83e86a51d0544feed2c16c899a7?cid=0f3710c5e6654c7983ad32e438f68f9d,
Kaef,Axiom Of Choice,"persian,traditional",37ZKpIHj3Hg28SvL1fWeUP,,USJ870710024,https://p.scdn.co/mp3-preview/e0811e3fc455241fdf3e1f02bb243b99d067b0a0?cid=0f3710c5e6654c7983ad32e438f68f9d,
Dele Man Havato Karde,Amir Tataloo,"pop,rap,persian",6HRcrVbgfaHONX7bxbw2CR,https://assets.rjassets.com/static/mp3/amir-tataloo-dele-man-havato-karde/dcf71b349c65070.jpg,FR2X41983223,https://p.scdn.co/mp3-preview/5a22f25327a6ba8c962634e55afea38d3e6dcafd?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host2.media-rj.com/media/mp3/mp3-256/87989-6080a09979aa54d.mp3
Thirty Three,Ali Azimi,"rock,persian",0jWk7lX2VfE3N1NrESQjNY,,ushm91362627,https://p.scdn.co/mp3-preview/cb0aacd4ee7a44375938d1ba0d5524f751bd565a?cid=0f3710c5e6654c7983ad32e438f68f9d,
Roozhaye Akhar,Zir-Cigari,"rock,persian",,,,,
Sunrise,Hossein Alizâdeh,"instrumental,traditional,persian",,,,,
Kasi Ke Dige Raft,Alireza Talischi,"pop,persian",1qlM3EdbgCSU9U4aJFjDaE,https://assets.rjassets.com/static/mp3/alireza-talischi-kasi-ke-dige-raft/eb61b4f68d777dc.jpg,FR10S1786633,https://p.scdn.co/mp3-preview/7244b9098f02bea164a820c31eb28ce2f11bb4b0?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/mp3-256/55956-c2a840fb45c07ec.mp3
"Oshaq, Abuata",Hossein Alizâdeh,"instrumental,traditional,persian",,,,,
"Slowly, Slowly",Dang Show,"persian,traditional",5zs3Qr8tLbtfhIAZ9LIsrB,https://assets.rjassets.com/static/mp3/dang-show-slowly-slowly/80d5f815.jpg,QM7281888927,https://p.scdn.co/mp3-preview/da176a4d6f7bce3264cb6a52050f7154364fd13f?cid=0f3710c5e6654c7983ad32e438f68f9d,https://host1.media-rj.com/media/mp3/dang-show-slowly-slowly/Dang+Show+-+Slowly%2C+Slowly.mp3
Banoo,Amir Azimi,"pop,rock,persian",,https://apin1mservice.com/image-application/amir-azimi-mah-banoo-mp3.jpg,,,http://music.n1mstaticfile.com/1398/03/08/Amir Azimi - Mah Banoo [128].mp3
Ashegh Shodan,Mohsen EbrahimZadeh,"pop,persian",6XL6oCaIM3lQ51nUqF4nMs,https://apin1mservice.com/image-application/456mohsen-ebrahimzadeh-ashegh-shodam-mp3-947.jpg,FR59R1877447,https://p.scdn.co/mp3-preview/8b3123038a1a44638a5b46117b2e13f99bcbe81f?cid=0f3710c5e6654c7983ad32e438f68f9d,http://music.n1mstaticfile.com/1397/05/15/Mohsen Ebrahimzadeh - Ashegh Shodan [128].mp3
Khoshkel,Khak,"rock,traditional,persian",7jHbBVQmFLclsTDPi21AJI,,DEBL60547913,https://p.scdn.co/mp3-preview/3a429519e54cc7238016c4e576b640131e96469d?cid=0f3710c5e6654c7983ad32e438f68f9d,
Toloo,Siavash Ghomayshi,"pop,rock,persian",6EtRYEqPCzAULYUbrpRQvW,,USBMF9621842,https://p.scdn.co/mp3-preview/b885eeedcdc89876f274d2b90782bf4dce5268ea?cid=0f3710c5e6654c7983ad32e438f68f9d,
The Messenger Of Love,Alireza Ghorbani,"classical,traditional,persian",6Mx54JqEpVNkBbyPNPhZnN,,IRIRA1201262,https://p.scdn.co/mp3-preview/b818dddac596db5c9abe9b54fbbe8d297006bec9?cid=0f3710c5e6654c7983ad32e438f68f9d,
Ashke Man,Shadmehr Aghili,"persian,pop",,https://assets.rjassets.com/static/mp3/shadmehr-aghili-ashke-man/6b2d656a6c54503.jpg,,,https://host1.media-rj.com/media/mp3/shadmehr-aghili-ashke-man/Shadmehr+Aghili+-+Ashke+Man.mp3
Migan Quf,Quf,"rap,persian",3vQWU64oh0iaT6BY3ZMfNE,,ushm81959716,https://p.scdn.co/mp3-preview/a5680575329be01aaf8a3d0a26537e4dafb4fa70?cid=0f3710c5e6654c7983ad32e438f68f9d,
Mano To,Rastin,"pop,classical,persian",,,,,
